Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-112.125000,-93.950000,180.000000,bottom
"C2","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-125.675000,-96.950000,0.000000,bottom
"C3","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-112.125000,-95.000000,180.000000,bottom
"C4","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-114.030000,-89.460000,180.000000,bottom
"C5","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-118.800000,-88.650000,90.000000,bottom
"C6","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-124.120000,-95.670000,0.000000,bottom
"C7","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-118.800000,-99.575000,-90.000000,bottom
"C8","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-115.200000,-99.550000,-90.000000,bottom
"C9","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-112.950000,-98.050000,-90.000000,bottom
"C12","1u","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-111.900000,-97.800000,-90.000000,bottom
"C13","1u","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-110.850000,-97.550000,-90.000000,bottom
"C14","2.2u","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",-102.125000,-95.650000,90.000000,bottom
"C15","100n","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",-103.175000,-95.650000,90.000000,bottom
"C16","30pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-127.350000,-90.100000,0.000000,bottom
"C17","30pF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-127.375000,-94.600000,180.000000,bottom
"C41","100n","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-111.600000,-118.700000,0.000000,bottom
"C42","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-115.800000,-106.800000,180.000000,bottom
"C43","10u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-115.625000,-122.125000,0.000000,bottom
"C44","150pF","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-115.825000,-110.525000,90.000000,bottom
"D1","B5819W SL","D_SOD-123",-127.450000,-86.450000,180.000000,bottom
"D6","SS34","D_SMA",-109.590000,-111.730000,90.000000,bottom
"J11","DNF","PinHeader_1x04_P1.00mm_Vertical_SMD_Pin1Left",-131.230000,-97.070000,0.000000,bottom
"R4","1K","L_0402_1005Metric_Pad0.77x0.64mm_HandSolder",-124.075000,-93.625000,0.000000,bottom
"R10","18K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-126.625000,-109.425000,90.000000,bottom
"R11","18K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-124.200000,-113.850000,90.000000,bottom
"R12","33K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-126.675000,-105.525000,90.000000,bottom
"R13","33K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",-124.200000,-109.900000,90.000000,bottom
"R25","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-145.090000,-100.030000,-90.000000,bottom
"R26","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-145.100000,-103.400000,90.000000,bottom
"R27","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-143.440000,-100.030000,90.000000,bottom
"R28","100K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",-143.450000,-103.400000,-90.000000,bottom
"R30","100K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-113.325000,-110.525000,90.000000,bottom
"R31","24.9k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-114.525000,-110.525000,90.000000,bottom
"R32","210k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",-118.570000,-112.860000,90.000000,bottom
