Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",130.000000,-119.250000,-90.000000,top
"C2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",132.000000,-119.250000,-90.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.000000,-119.250000,-90.000000,top
"C4","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.000000,-119.250000,-90.000000,top
"C5","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",154.500000,-121.000000,-90.000000,top
"C6","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",152.500000,-121.000000,-90.000000,top
"C7","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.500000,-121.000000,-90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,-121.000000,-90.000000,top
"C9","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",162.500000,-116.000000,-90.000000,top
"D1","VS-10BQ015","D_SMB_Handsoldering",119.000000,-89.500000,180.000000,top
"D2","VS-10BQ015","D_SMB_Handsoldering",154.000000,-111.500000,-90.000000,top
"D3","VS-10BQ015","D_SMB_Handsoldering",154.000000,-99.000000,-90.000000,top
"D4","19-217/GHC-YR1S2/3T","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",124.250000,-133.350000,90.000000,top
"D5","19-217/GHC-YR1S2/3T","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",141.700000,-133.400000,90.000000,top
"D6","19-217/GHC-YR1S2/3T","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",141.800000,-82.900000,-90.000000,top
"D7","19-217/GHC-YR1S2/3T","D_0603_1608Metric_Pad1.05x0.95mm_HandSolder",102.100000,-104.700000,0.000000,top
"D8","VS-10BQ015","D_SMB_Handsoldering",119.250000,-105.750000,180.000000,top
"J1","USB3_A","USB3_A_AdamTech_USB-A3-S-RA",112.000000,-126.075000,0.000000,top
"J2","USB3_A","USB3_A_AdamTech_USB-A3-S-RA",129.500000,-126.075000,0.000000,top
"J3","USB3_A","USB3_A_AdamTech_USB-A3-S-RA",147.000000,-126.075000,0.000000,top
"J4","USB3_A","USB3_A_AdamTech_USB-A3-S-RA",136.500000,-90.425000,180.000000,top
"J5","USB3_A","USB3_A_AdamTech_USB-A3-S-RA",154.000000,-90.425000,180.000000,top
"J6","USB3_A","USB3_A_AdamTech_USB-A3-S-RA",110.425000,-92.500000,-90.000000,top
"J7","USB3_A","USB3_A_AdamTech_USB-A3-S-RA",110.425000,-110.000000,-90.000000,top
"J8","Conn_02x05_Odd_Even","PinSocket_2x05_P2.54mm_Vertical",108.450000,-82.210000,90.000000,top
"J9","C65114","PinHeader_2x03_P2.54mm_Vertical",102.175000,-123.025000,0.000000,top
"K1","Relay_DPDT_Panasonic_AGQ200A4H","Relay_DPDT_Panasonic_AGQ200A4H",146.250000,-111.250000,-90.000000,top
"K2","Relay_DPDT_Panasonic_AGQ200A4H","Relay_DPDT_Panasonic_AGQ200A4H",146.250000,-98.750000,-90.000000,top
"K3","Relay_DPDT_Panasonic_AGQ200A4H","Relay_DPDT_Panasonic_AGQ200A4H",119.250000,-98.000000,180.000000,top
"MUX1","PI3USB302-A","USB_MUX_DEMUX_PI3USB302-A",120.250000,-117.500000,0.000000,top
"Q1","2N7002P","SOT-23",158.500000,-114.500000,180.000000,top
"Q2","2N7002P","SOT-23",158.250000,-102.000000,180.000000,top
"Q3","2N7002P","SOT-23",116.500000,-110.000000,180.000000,top
"R1","18K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.150000,-103.400000,-90.000000,top
"R2","18K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.100000,-106.450000,0.000000,top
"R4","33K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",136.150000,-104.150000,0.000000,top
"R5","33K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",137.100000,-107.450000,90.000000,top
"R7","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",159.000000,-120.750000,90.000000,top
"R9","330Ω","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",124.250000,-130.500000,-90.000000,top
"R10","330Ω","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",141.750000,-130.800000,180.000000,top
"R11","330Ω","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",141.800000,-85.900000,90.000000,top
"R12","330Ω","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",105.050000,-104.700000,180.000000,top
"SW1","C2689642","SW_SPST_CK_PTS636_SP43_SMTR",162.000000,-124.000000,90.000000,top
